country,Total Cases,New Cases,"Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious
Critical","Tot Cases/
1M pop",Deaths/1M pop,"Total
Tests","Tests/
1M pop",Population
Angola,61,,4,,18,39,,2,0.1,10000,305,32745816
Burundi,42,,1,,20,21,,4,0.08,284,24,11849331
Madagascar,488,,2,,138,348,4,18,0.07,5670,205,27609355
Ethiopia,494,,5,,151,338,,4,0.04,76962,671,114638437
Diamond Princess,712,,13,,651,48,4,,,,,0
Vietnam,325,1,,,267,58,2,3,,275000,2828,97246184
Rwanda,325,,,,227,98,,25,,57077,4419,12915554
Uganda,198,,,,68,130,,4,,84975,1865,45570409
Faeroe Islands,187,,,,187,0,,3829,,9153,187393,48844
Mozambique,168,,,,48,120,,5,,7947,255,31153827
Gibraltar,152,,,,147,5,,4511,,6101,181082,33692
Mongolia,141,,,,32,109,25,43,,12407,3791,3272517
Cambodia,124,,,,122,2,1,7,,16416,983,16693950
French Polynesia,60,,,,60,0,,214,,3873,13796,280739
Macao,45,,,,45,0,,69,,,,648379
Eritrea,39,,,,39,0,,11,,,,3541114
Bhutan,24,,,,6,18,,31,,15293,19843,770702
Timor-Leste,24,,,,24,0,,18,,738,561,1315658
Grenada,22,,,,17,5,4,196,,3007,26736,112469
Namibia,20,,,,14,6,,8,,2847,1123,2535822
Laos,19,,,,14,5,,3,,5194,715,7264107
Fiji,18,,,,15,3,,20,,1300,1451,895766
New Caledonia,18,,,,18,0,,63,,5454,19123,285208
Saint Lucia,18,,,,18,0,,98,,867,4724,183540
St. Vincent Grenadines,18,,,,14,4,,162,,209,1885,110904
Dominica,16,,,,16,0,,222,,433,6017,71968
Saint Kitts and Nevis,15,,,,15,0,,282,,391,7355,53160
Falkland Islands,13,,,,13,0,,3749,,445,128316,3468
Vatican City,12,,,,2,10,,14981,,,,801
Greenland,11,,,,11,0,,194,,1850,32593,56760
Seychelles,11,,,,11,0,,112,,,,98284
MS Zaandam,9,,2,,,7,,,,,,0
Papua New Guinea,8,,,,8,0,,0.9,,2402,269,8928226
Caribbean Netherlands,6,,,,6,0,,229,,424,16185,26197
St. Barth,6,,,,6,0,,608,,137,13875,9874
Western Sahara,6,,,,6,0,,10,,,,595664
Anguilla,3,,,,3,0,,200,,30,2001,14989
Lesotho,2,,,,,2,,0.9,,283,132,2140467
Saint Pierre Miquelon,1,,,,1,0,,173,,,,5797
Total:,5407414,9464,344025,417,2248366,2815023,53567,693.7,44.1,,,
