,country,CODE,#NURSING BEDS/100k,ICU and IMCU beds/100k population,GDP ($million)/ICU beds,Total Cases,New Cases,"Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious
Critical","Tot Cases/
1M pop",Deaths/1M pop,"Total
Tests","Tests/
1M pop",Population,Time,PopMale,PopFemale,PopTotal,PopDensity,lockdown start date,first case date,first death date,new cases,new deaths,cumulative cases,cumulative deaths,% over 65,80+percentage,population,heart dieases lost per 1000,heart diseas deaths,stroke per  1000,#strokes,Rheumatic heart disease Number of deaths,men smokers%,women smokers %,Diabete %,Cancer Age-standardised rate per 100k,hypertension,delta,number of days between first death and lockdown
11,Denmark,DNK,816.62,6.7,833.0,11289.0,,561.0,,9836.0,892.0,19.0,1950.0,97.0,526285.0,90894.0,5790110.0,2019.0,49.71817660009041,50.2818233999096,5771.8769999999995,136.033,2020-03-11 00:00:00,2020-02-27 00:00:00,2020-03-14 00:00:00,0.6488171088129496,10.829037523452156,0.028894925758683177,0.36747163684981216,19.8129526369902,3.56907491645087,5351,5,10013,4,4871,17.0,40.3,36.9,3.8,340.4,178.0,-3.0,-3.0
12,Spain,ESP,796.39,9.7,314.8,282370.0,,28678.0,,196958.0,56734.0,1152.0,6040.0,613.0,3037840.0,64976.0,46752950.0,2019.0,49.12757579244544,50.87242420755456,46736.782,93.698,2020-03-14 00:00:00,2020-02-01 00:00:00,2020-03-03 00:00:00,0.44888282525595957,1.862023187250996,0.06294244827158964,0.07450871241227805,19.3785075224995,4.67746876668828,40977,4,45018,3,34880,1738.0,43.9,31.2,8.7,272.3,179.0,11.0,11.0
13,Estonia,EST,828.29,14.6,98.2,1821.0,,64.0,,1526.0,231.0,2.0,1373.0,48.0,75249.0,56730.0,1326445.0,2019.0,47.269375226775715,52.730624773224285,1325.649,31.273000000000003,,2020-02-27 00:00:00,2020-03-25 00:00:00,0.804887067395264,20.713265625,0.031739908059186896,0.6094937931034482,19.626356846974897,3.14651675159787,1338,16,6235,9,2964,65.0,57.1,28.8,4.4,283.3,119.0,,
14,Finland,FIN,1151.73,6.1,727.0,6568.0,,306.0,,4800.0,1462.0,21.0,1186.0,55.0,165600.0,29893.0,5539846.0,2019.0,49.29739004247708,50.7026099575229,5532.159000000001,18.204,,2020-01-29 00:00:00,2020-03-21 00:00:00,4.461418548387098,18.197891447368423,0.587964608353704,0.6922987110499312,21.7207875455222,3.92274373431006,5197,7,12488,4,4875,77.0,31.6,22.3,3.9,266.2,181.0,,
15,France,FRA,1001.49,11.6,339.9,182469.0,,28332.0,,64547.0,89590.0,1665.0,2796.0,434.0,1384633.0,21218.0,65258794.0,2019.0,48.40261661759358,51.59738338240641,65129.731,118.946,2020-03-17 00:00:00,2020-01-24 00:00:00,2020-02-15 00:00:00,2.8790438953231368,3.789255934372818,0.5330637665739073,0.3886787434280019,20.0346247469881,4.5672852777552695,59850,3,46132,3,37750,1136.0,42.6,33.9,3.9,344.1,166.0,31.0,31.0
16,UK,UK,847.39,6.6,547.0,257154.0,,36675.0,,,,1559.0,3790.0,541.0,3348507.0,49352.0,67849102.0,2019.0,49.3874655503931,50.612534449606905,67530.161,279.131,2020-03-23 00:00:00,2020-01-31 00:00:00,2020-03-05 00:00:00,2.6502162787959653,2.344064736714221,0.4815156404862918,0.13737006222627254,18.395865674146602,4.13800198857692,59068,7,120530,4,59322,1712.0,34.6,34.4,3.9,319.2,194.0,18.0,18.0
17,Greece,GRC,15.02,6.0,449.1,2876.0,,171.0,,1374.0,1331.0,20.0,276.0,16.0,152998.0,14672.0,10428054.0,2019.0,49.081429885772145,50.918570114227855,10473.452,81.253,2020-03-23 00:00:00,2020-02-26 00:00:00,2020-03-11 00:00:00,4.1610854191497815,69.36060927152317,0.16127393674355578,2.208657106706031,21.6552720778435,6.13905853892866,10970,7,16825,6,22694,10.0,53.5,33.6,10.3,279.8,176.0,12.0,12.0
18,Croatia,HRV,223.29,14.7,93.6,2243.0,,99.0,,2023.0,121.0,6.0,546.0,24.0,60864.0,14817.0,4107737.0,2019.0,48.1808944098236,51.819105590176406,4130.299,73.808,2020-03-18 00:00:00,2020-02-25 00:00:00,2020-03-19 00:00:00,2.0487594246031744,43.47683157894737,0.09430337001689575,1.6121385636221701,20.445433012423,3.64181309123871,4439,10,11653,11,8653,152.0,41.4,27.4,4.4,287.2,46.0,-1.0,-1.0
19,Hungary,HUN,842.27,13.8,94.9,3741.0,28.0,486.0,4.0,1690.0,1565.0,28.0,387.0,50.0,162925.0,16861.0,9662790.0,2019.0,47.58288348195293,52.41711651804706,9684.68,106.978,2020-03-28 00:00:00,2020-03-04 00:00:00,2020-03-15 00:00:00,3.230380253502335,22.21256880733945,0.16647494628276752,1.0135719518576662,19.1577253832321,2.6661336362886296,9923,13,29502,8,17148,354.0,47.2,27.7,4.4,368.1,77.0,13.0,13.0
20,Ireland,IRL,649.48,6.5,716.2,24582.0,,1604.0,,21060.0,1918.0,54.0,4984.0,325.0,295626.0,59942.0,4931903.0,2019.0,49.614316278265754,50.38568372173424,4882.498,70.874,2020-03-12 00:00:00,2020-02-29 00:00:00,2020-03-11 00:00:00,0.24107529748679207,3.3487640603566526,0.014017076006603027,0.16766244291061433,13.8658017012923,2.50008058294329,3911,8,6527,4,2650,51.0,33.8,26.5,3.2,373.7,165.0,1.0,1.0
21,Iceland,ISL,760.4,9.1,434.3,1804.0,,10.0,,1791.0,3.0,,5290.0,29.0,58225.0,170742.0,341012.0,2019.0,50.20985910092409,49.79014089907592,339.037,3.3819999999999997,,2020-02-28 00:00:00,2020-03-15 00:00:00,0.18887855153203342,33.9037,0.006048507662390951,0.8671023017902812,14.795092556568902,3.11675247056039,287,5,416,3,189,3.0,26.5,27.1,3.2,257.8,190.0,,
22,Israel,ISR,240.08,,,16712.0,,279.0,,14090.0,2343.0,47.0,1817.0,30.0,536306.0,58309.0,9197590.0,2019.0,49.73754523953817,50.26245476046183,8519.373,393.686,,2020-02-21 00:00:00,2020-03-21 00:00:00,0.611058169559604,30.53538709677419,0.0349618879167419,0.9634030306457084,11.9769860249625,2.41256950102334,6304,4,5705,3,2233,170.0,35.8,19.7,6.7,233.6,191.0,,
23,Italy,ITA,388.5,12.5,272.2,229327.0,,32735.0,,138840.0,57752.0,572.0,3792.0,541.0,3391188.0,56080.0,60470714.0,2019.0,48.65564035806915,51.34435964193085,60550.092000000004,205.855,2020-03-09 00:00:00,2020-01-31 00:00:00,2020-02-21 00:00:00,0.572350385662432,2.4565925024342747,0.05478173920674715,0.121969583188971,22.7516796025077,5.481609150484299,57482,4,92928,4,69075,1790.0,37.9,29.7,9.2,290.6,155.0,17.0,17.0
24,Kazakhstan,KAZ,122.05,,,8322.0,403.0,35.0,,4214.0,4073.0,31.0,444.0,2.0,657214.0,35046.0,18752654.0,2019.0,48.51245952602679,51.487540473973226,18551.428,6.872000000000001,,2020-03-13 00:00:00,2020-03-20 00:00:00,3.5141935972722105,530.0408,0.19147291718272644,18.459132338308457,7.39184627103032,0.9163325982138729,15469,28,51948,17,26874,919.0,57.5,6.4,4.4,,79.0,,
25,Kyrgyz Republic,KGZ,48.84,,,,,,,,,,,,,,,,,,,,,,,,,,,4.494727975596559,0.6136088556153161,,,,,,,,,,,,,
26,Lithuania,LTU,646.46,15.5,72.5,1616.0,,63.0,,1135.0,418.0,17.0,593.0,23.0,264882.0,97174.0,2725846.0,2019.0,46.2553508059592,53.744649194040804,2759.631,44.032,2020-03-16 00:00:00,2020-02-28 00:00:00,2020-03-21 00:00:00,2.053296875,45.993849999999995,0.0836479949077021,1.4852696447793325,19.7050331564608,3.5027487384233202,3465,16,14662,7,5089,186.0,46.4,15.9,4.2,285.8,89.0,-5.0,-5.0
27,Luxembourg,LUX,996.63,24.8,432.7,3990.0,,109.0,,3758.0,123.0,8.0,6385.0,174.0,66653.0,106668.0,624863.0,2019.0,50.527016711870466,49.472983288129534,615.73,237.734,2020-03-18 00:00:00,2020-02-29 00:00:00,2020-03-14 00:00:00,0.16336694083311223,5.977961165048544,0.00565024684787197,0.18772256097560977,14.183154184147199,3.00125284513916,447,4,455,5,390,0.0,41.4,30.2,3.6,309.3,170.0,4.0,4.0
28,Latvia,LVA,281.65,9.7,110.7,1046.0,,22.0,,712.0,312.0,2.0,554.0,12.0,97846.0,51820.0,1888181.0,2019.0,46.04445283573009,53.9555471642699,1906.74,30.655,,2020-03-02 00:00:00,2020-04-03 00:00:00,2.191655172413793,86.67,0.0813941774097157,3.4858135283363803,20.0436203206809,3.14242030632678,2329,17,9928,12,7278,109.0,64.5,29.2,4.5,302.2,94.0,,
29,Monaco,MCO,419.96,,,98.0,,4.0,,90.0,4.0,1.0,2499.0,102.0,,,39213.0,2019.0,50.0,50.0,38.967,26152.349,,2020-02-29 00:00:00,2020-03-29 00:00:00,0.41017894736842103,9.74175,0.013672631578947369,0.2546862745098039,,,34,3,27,3,22,1.0,,,8.8,,,,
30,Moldova,MDA,77.33,,,6994.0,,242.0,,3452.0,3300.0,286.0,1733.0,60.0,40565.0,10054.0,4034896.0,,,,,,,2020-03-08 00:00:00,2020-03-18 00:00:00,,,,,11.469556341351199,1.43488920733009,,,,,,,,,,254.3,47.0,,
31,North Macedonia,MKD,44.87,,,1941.0,,113.0,,1411.0,417.0,21.0,932.0,54.0,24762.0,11885.0,2083383.0,2019.0,50.02764634564267,49.97235365435732,2083.458,82.611,,,,,,,,13.6701813815648,1.9865147666855,,,,,,,,,,,,,
32,Malta,MLT,1107.08,,,609.0,,6.0,,473.0,130.0,1.0,1380.0,14.0,59511.0,134816.0,441423.0,2019.0,50.13499796765045,49.865002032349565,440.37699999999995,1376.1779999999999,,2020-03-07 00:00:00,2020-04-08 00:00:00,0.9098698347107437,73.39616666666666,0.029010342555994727,2.51644,20.3493242997122,3.3876212622170603,393,9,865,4,338,6.0,,,13.9,249.4,183.0,,
33,Netherlands,NLD,1062.17,,,45064.0,,5811.0,,,,227.0,2631.0,339.0,313755.0,18315.0,17131009.0,2019.0,49.80273581701435,50.19726418298565,17097.123,507.032,2020-03-16 00:00:00,2020-02-27 00:00:00,2020-03-06 00:00:00,0.44477427159209154,3.297420057859209,0.021533036102242456,0.14155708359897,19.1961926333387,3.64646480347354,16067,5,19045,4,12459,16.0,38.3,32.8,3.5,334.1,184.0,10.0,10.0
34,Norway,NOR,802.45,8.0,1045.5,8346.0,,235.0,,7727.0,384.0,13.0,1541.0,43.0,229769.0,42418.0,5416796.0,2019.0,50.50907636731136,49.49092363268864,5378.859,14.725999999999999,2020-03-12 00:00:00,2020-02-26 00:00:00,2020-03-14 00:00:00,0.7146086090075728,23.4884672489083,0.025202808507049382,0.7582265294615168,17.0492221563211,3.2039950192161,4514,5,8886,3,4817,103.0,40.3,39.0,3.9,337.8,180.0,-2.0,-2.0
35,Poland,POL,181.97,6.9,178.1,20931.0,,993.0,,8977.0,10961.0,160.0,553.0,26.0,750939.0,19839.0,37850763.0,2019.0,48.460330379425066,51.539669620574934,37887.771,123.723,2020-03-13 00:00:00,2020-03-04 00:00:00,2020-03-12 00:00:00,2.7669444971883443,46.71735018495684,0.13631930962026956,2.2565676593210244,17.5178167625452,2.90312619081144,38622,10,77151,7,43032,1277.0,51.5,27.9,4.1,253.8,91.0,1.0,1.0
36,Romania,ROU,122.1,21.4,35.3,17857.0,,1176.0,,11187.0,5494.0,196.0,928.0,61.0,361566.0,18782.0,19250177.0,2019.0,48.63672591958979,51.36327408041021,19364.558,84.132,2020-03-25 00:00:00,2020-02-26 00:00:00,2020-03-22 00:00:00,1.7546718013773106,16.75134775086505,0.10788295003788385,0.6200428420479652,18.338701393829602,3.4229686133401094,22387,13,60718,13,52272,566.0,33.3,10.8,6.6,,57.0,3.0,3.0
37,Russian Federation,RUS,1.11,,,,,,,,,,,,,,,2019.0,46.343931327313356,53.656068672686644,145872.26,8.907,,,,,,,,14.6747083203719,2.03218740166955,144082,27,674881,19,517424,8126.0,58.1,15.8,4.2,,,,
38,San Marino,SMR,367.16,,,665.0,,42.0,,266.0,357.0,1.0,19603.0,1238.0,3968.0,116967.0,33924.0,2019.0,50.0,50.0,33.864000000000004,564.4,2020-03-14 00:00:00,2020-02-27 00:00:00,2020-03-03 00:00:00,0.06294423791821561,0.8259512195121952,0.00254712297856337,0.02330626290433586,,,27,5,40,3,26,1.0,,,9.2,,,11.0,11.0
39,Serbia,SRB,275.58,,,11092.0,,238.0,,5699.0,5155.0,12.0,1269.0,27.0,214212.0,24507.0,8740843.0,2019.0,48.98919635923736,51.010803640762646,8772.228000000001,100.3,2020-03-15 00:00:00,2020-03-06 00:00:00,2020-03-20 00:00:00,0.906502841789811,37.48815384615385,0.0479849681640155,1.3088970456580127,18.3457926916963,3.14271266676729,,,,,,,,,,307.9,58.0,-5.0,-5.0
40,Slovak Republic,SVK,781.4,,,,,,,,,,,,,,,,,,,,,,,,,,,15.629246504777,2.06381765565781,,,,,,,,,,,,,
41,Slovenia,SVN,915.85,6.4,364.4,1468.0,,106.0,,1340.0,22.0,4.0,706.0,51.0,75110.0,36130.0,2078909.0,2019.0,49.776634302774774,50.22336569722522,2078.654,103.21,,2020-03-05 00:00:00,2020-03-14 00:00:00,1.4445128561501042,20.181106796116506,0.04197096474579009,0.6903533709730987,19.6068796541788,3.4946020740494297,1986,6,2803,6,2003,87.0,32.7,20.8,4.3,304.9,63.0,,
42,Sweden,SWE,1276.49,5.8,834.0,33188.0,,3992.0,,4971.0,24225.0,265.0,3288.0,396.0,209900.0,20797.0,10092714.0,2019.0,50.073746628643704,49.926253371356296,10036.391,24.459,,2020-01-31 00:00:00,2020-03-11 00:00:00,2.2629968432919956,3.1120592248062016,0.2541952485879999,0.15141270272308968,20.0955249278002,4.08274767181263,8867,5,20122,3,9984,143.0,21.3,24.9,4.3,294.7,182.0,,
43,Tajikistan,TJK,21.61,,,2738.0,,44.0,,1223.0,1471.0,,288.0,5.0,,,9513464.0,2019.0,50.40168874167566,49.598311258324316,9321.023000000001,66.598,,2020-04-30 00:00:00,2020-05-02 00:00:00,3.966392765957447,211.84143181818183,0.5750168414558915,22.78978728606357,3.02188755207627,0.449818211458802,6195,23,11447,7,3048,419.0,,,3.1,,53.0,,
44,Turkmenistan,TKM,7.54,,,,,,,,,,,,,,,2019.0,49.236649571682975,50.763350428317025,5942.094,12.645,,,,,,,,4.426634461940139,0.632293406911145,4794,34,11671,7,2182,221.0,,,3.2,,76.0,,
45,Turkey,TUR,52.54,,,155686.0,,4308.0,,117602.0,33776.0,775.0,1848.0,51.0,1807673.0,21458.0,84242466.0,2019.0,49.35143587575572,50.64856412424429,83429.607,108.402,2020-04-11 00:00:00,2020-03-11 00:00:00,2020-03-17 00:00:00,0.6016977649884248,20.368556396484376,0.025090901791047112,0.789096615844431,8.4832129399716,1.25823609528756,70318,16,102552,13,62782,1584.0,51.1,18.5,7.3,,131.0,25.0,25.0
46,Ukraine,UKR,100.7,,,20580.0,,605.0,,6929.0,13046.0,256.0,470.0,14.0,277712.0,6346.0,43759415.0,2019.0,46.3226539343423,53.677346065657716,43993.643,75.94,2020-03-17 00:00:00,2020-03-03 00:00:00,2020-03-13 00:00:00,3.8553713960213827,103.51445411764705,0.2906825618120069,5.973339171758316,16.434686439201602,2.37050281262019,48902,28,335610,13,126117,3085.0,55.5,14.7,4.4,,101.0,4.0,4.0
47,USA,USA,531.0,34.7,1800.0,1666828.0,,98683.0,,446914.0,1121231.0,17133.0,5039.0,298.0,14357969.0,43404.0,330801130.0,2019.0,49.48151279220082,50.51848720779919,329064.917,35.974000000000004,2020-06-23 00:00:00,2020-01-22 00:00:00,2020-02-29 00:00:00,9.721842265421886,5.397426755457871,3.5495536103380583,0.3849815643079011,15.8076540556035,3.1002164554201697,291038,8,514450,4,163768,3479.0,27.8,22.3,8.8,352.2,199.0,115.0,115.0
48,Uzbekistan,UZB,34.84,,,3132.0,17.0,13.0,,2532.0,587.0,4.0,94.0,0.4,460000.0,13766.0,33416589.0,2019.0,49.87647246360598,50.12352753639403,32981.715,77.531,,2020-03-15 00:00:00,2020-03-27 00:00:00,12.469457466918714,2537.055,0.4989367511799588,90.11397540983606,4.419137878136401,0.628220928301695,25705,24,55693,12,23436,1558.0,28.7,1.4,3.2,,72.0,,
